title,sub-title,author,date,url,section,text
Paulo Guedes cancela ida à Câmara para defender reforma da Previdência e acirra tensão com o Legislativo,Ministro da Economia ia em 'missão de paz' para explicar projeto de reforma na CCJ e tentar atenuar crise entre Governo e Rodrigo Maia. Desistência de Guedes foi criticada,Marina Novaes,2019-03-26T13:29:31-03:00,https://brasil.elpais.com/brasil/2019/03/26/politica/1553607037_149988.html,politica,"O ministro da Economia,"
“Refletir sobre nosso comportamento online é mais importante do que votar”,Pesquisador inglês Jamie Bartlett chama atenção para a cidadania na Internet:,Ethel Rudnitzki (Agência Pública),2019-03-26T18:09:22-03:00,https://brasil.elpais.com/brasil/2019/03/26/politica/1553628705_921854.html,politica,"“Fomos muito ingênuos”, adverte o pesquisador e jornalista inglês Jamie Bartlett. Para ele, nos primórdios da"
Bolsonaro escancara cadáver insepulto da ditadura com celebração do golpe,"Com medida simbólica, presidente determinou que Forças Armadas façam ""comemorações devidas"" da data",Gil Alessi,2019-03-26T17:51:54-03:00,https://brasil.elpais.com/brasil/2019/03/26/politica/1553609505_570456.html,politica,"Agora, com número recorde de militares ocupando o primeiro escalão do Governo desde os anos de chumbo, Bolsonaro faz um aceno considerado por especialistas ""mais simbólico do que prático"" para a ala mais radical da tropa, conhecida como"
A tensão em escolas e universidades na esteira do massacre de Suzano,"Instituições buscam formas para lidar com ameaças, várias delas já identificadas pelas autoridades policiais como trote de adolescentes",B. J.,2019-03-27T17:25:33-03:00,https://brasil.elpais.com/brasil/2019/03/21/politica/1553207769_581816.html,politica,Um jovem de 18 anos que se exibia com armas de
"Morre o jornalista Rafael Henzel, sobrevivente da tragédia com voo da Chapecoense","Narrador era um dos seis sobreviventes do acidente com o voo da Chape, que matou 71 pessoas em novembro de 2016",Marina Novaes,2019-03-27T00:02:28-03:00,https://brasil.elpais.com/brasil/2019/03/27/politica/1553649151_721382.html,politica,Morreu na noite desta terça-feira o jornalista
Câmara envia recado indigesto a Bolsonaro antes de analisar Previdência,Votação relâmpago de PEC encerra dia marcado pela ausência de Paulo Guedes em comissão da reforma da Previdência. Senado Bolsonaro usou a manhã para ir ao cinema,Afonso Benites,2019-03-27T15:23:21-03:00,https://brasil.elpais.com/brasil/2019/03/27/politica/1553642262_663695.html,politica,A terça-feira deveria ter sido o marco dos primeiros passos da
"Operando com 10% do orçamento, Funai abandona postos e coordenações em áreas indígenas","Em zonas de conflito, há coordenações que funcionam dentro de carros e funcionários que sofrem de esgotamento físico e mental por atuar sozinhos",Ciro Barros (Agência Pública),2019-03-27T15:21:41-03:00,https://brasil.elpais.com/brasil/2019/03/27/politica/1553700198_051341.html,politica,"Nos últimos anos, a"
"Saúde mental dos estudantes, mais um desafio para as escolas brasileiras",Massacre de Suzano reabre debate sobre papel das instituições de ensino em identificar transtornos psiquiátricos. 80% dos alunos da rede pública com algum problema não recebem tratamento,Beatriz Jucá,2019-03-27T18:01:31-03:00,https://brasil.elpais.com/brasil/2019/03/18/politica/1552928918_526670.html,politica,"Duas semanas após o massacre de Suzano, investigadores ainda se debruçam sobre um"
Um Brasil de dedo em riste às portas do Mackenzie,"A expectativa de uma visita do presidente Jair Bolsonaro à universidade em São Paulo, cenário emblemático da luta estudantil durante a ditadura, gerou embates inflamados entre estudantes e bolsonaristas",Beatriz Jucá,2019-03-28T18:02:37-03:00,https://brasil.elpais.com/brasil/2019/03/27/politica/1553717682_889482.html,politica,"Cenário emblemático da luta estudantil em São Paulo durante a ditadura militar, o entorno da Universidade Presbiteriana Mackenzie voltou a ser palco de tensão entre estudantes e militantes na tarde desta quarta-feira. A expectativa de uma visita de"
A extrema direita contra Picasso,Livro reconstrói os ataques de 1971 a livrarias e galerias de Madri e Barcelona que comemoravam os 90 anos do pintor espanhol,José Ángel Montañés,2019-03-20T12:23:21-03:00,https://brasil.elpais.com/brasil/2019/03/19/cultura/1553020600_660438.html,cultura,"No final de 1971, uma dúzia de galerias e livrarias que expunham obras e retratos de"
